# ES - 5 minute slots, candle to body 80%
# Time,Value  -- times exactly as labeled in the source chart (09:30 = first slot).
# The study subtracts 60 minutes when matching, so 09:30 here displays as 08:30.
# Values recovered by measuring bar pixel heights against the y-axis gridlines.
09:30,21
09:35,17
09:40,28
09:45,13
09:50,28
09:55,29
10:00,12
10:05,16
10:10,19
10:15,13
10:20,19
10:25,21
10:30,23
10:35,16
10:40,14
10:45,19
10:50,16
10:55,22
11:00,20
11:05,21
11:10,23
11:15,17
11:20,15
11:25,27
11:30,24
11:35,18
11:40,17
11:45,16
11:50,14
11:55,16
12:00,10
12:05,21
12:10,21
12:15,21
12:20,22
12:25,15
12:30,19
12:35,16
12:40,25
12:45,13
12:50,21
12:55,17
13:00,18
13:05,14
13:10,15
13:15,26
13:20,22
13:25,17
13:30,19
13:35,21
13:40,22
13:45,11
13:50,22
13:55,14
14:00,24
14:05,16
14:10,16
14:15,11
14:20,9
14:25,11
14:30,29
14:35,16
14:40,13
14:45,17
14:50,14
14:55,17
15:00,17
15:05,19
15:10,20
15:15,16
15:20,20
15:25,14
15:30,18
15:35,16
15:40,22
15:45,19
15:50,30
15:55,16
