# Time,Value  -- times exactly as labeled in the source chart (09:30 = first slot).
# The study subtracts 60 minutes when matching, so 09:30 here displays as 08:30.
# Values recovered by measuring bar pixel heights against the y-axis gridlines.
09:30,22
09:35,12
09:40,26
09:45,14
09:50,28
09:55,33
10:00,11
10:05,20
10:10,19
10:15,18
10:20,22
10:25,22
10:30,19
10:35,17
10:40,18
10:45,16
10:50,16
10:55,22
11:00,15
11:05,23
11:10,19
11:15,15
11:20,14
11:25,20
11:30,22
11:35,16
11:40,18
11:45,23
11:50,21
11:55,15
12:00,16
12:05,16
12:10,22
12:15,24
12:20,15
12:25,21
12:30,22
12:35,18
12:40,22
12:45,13
12:50,20
12:55,17
13:00,23
13:05,16
13:10,16
13:15,27
13:20,14
13:25,14
13:30,12
13:35,15
13:40,22
13:45,10
13:50,19
13:55,9
14:00,13
14:05,20
14:10,15
14:15,14
14:20,14
14:25,14
14:30,19
14:35,15
14:40,16
14:45,14
14:50,10
14:55,17
15:00,19
15:05,16
15:10,19
15:15,20
15:20,17
15:25,13
15:30,16
15:35,23
15:40,16
15:45,12
15:50,21
15:55,21
