# YM - 5 minute slots, candle to body 80%
# Time,Value  -- times exactly as labeled in the source chart (09:30 = first slot).
# The study subtracts 60 minutes when matching, so 09:30 here displays as 08:30.
# Values recovered by measuring bar pixel heights against the y-axis gridlines.
09:30,23
09:35,20
09:40,22
09:45,20
09:50,23
09:55,16
10:00,12
10:05,14
10:10,25
10:15,26
10:20,24
10:25,21
10:30,32
10:35,18
10:40,19
10:45,22
10:50,15
10:55,24
11:00,22
11:05,20
11:10,24
11:15,27
11:20,24
11:25,34
11:30,20
11:35,19
11:40,23
11:45,8
11:50,18
11:55,24
12:00,21
12:05,23
12:10,27
12:15,19
12:20,19
12:25,17
12:30,26
12:35,14
12:40,25
12:45,11
12:50,21
12:55,23
13:00,16
13:05,20
13:10,24
13:15,21
13:20,23
13:25,22
13:30,18
13:35,20
13:40,20
13:45,17
13:50,22
13:55,21
14:00,19
14:05,23
14:10,20
14:15,17
14:20,17
14:25,14
14:30,24
14:35,24
14:40,18
14:45,24
14:50,18
14:55,16
15:00,26
15:05,17
15:10,21
15:15,21
15:20,24
15:25,25
15:30,27
15:35,20
15:40,15
15:45,19
15:50,19
15:55,11
